Generation	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo	Pmean	PmeanRes	PmeanUnres	MeanP0	StdevP0	MeanInfo
0	0.67	0	0.67	0.67	5.77316e-15	0	0.67	0	0.67	0.67	5.77316e-15	0	0.67	0	0.67	0.67	5.77316e-15	0
199501	0.4276	0.714255	0.173396	0.177658	0.0291272	0.494	0.5957	0.243653	0.882577	0.884502	0.0193958	0.459	0.5745	0.30395	0.825241	0.819661	0.0130456	0.472
199502	0.4384	0.694332	0.188538	0.176186	0.0286986	0.486	0.595	0.250545	0.887246	0.884579	0.0199614	0.436	0.5733	0.29089	0.825758	0.820103	0.0133797	0.465
199503	0.4285	0.684979	0.185992	0.178834	0.0287027	0.484	0.6096	0.241514	0.894149	0.884474	0.0194167	0.422	0.5763	0.296774	0.819252	0.820201	0.0151362	0.473
199504	0.4308	0.697107	0.181008	0.179216	0.0295118	0.478	0.6108	0.231754	0.887543	0.885552	0.0191157	0.404	0.5707	0.292812	0.820114	0.819846	0.0142831	0.501
199505	0.4266	0.697071	0.178927	0.18096	0.0303032	0.474	0.6198	0.22599	0.886745	0.886614	0.0196116	0.42	0.5627	0.305589	0.820842	0.819765	0.0146206	0.531
199506	0.4213	0.695148	0.174525	0.181889	0.0299118	0.468	0.6115	0.225952	0.89069	0.885587	0.0191226	0.401	0.5564	0.326742	0.816418	0.819755	0.0133779	0.554
199507	0.4318	0.713248	0.184211	0.182495	0.030386	0.465	0.6211	0.222943	0.887646	0.88619	0.0188126	0.402	0.5369	0.3213	0.804709	0.820232	0.0132348	0.533
199508	0.4246	0.703656	0.182056	0.184142	0.0303638	0.483	0.6209	0.222886	0.888462	0.885889	0.019383	0.388	0.5579	0.333021	0.814561	0.820625	0.0128035	0.549
199509	0.4424	0.709731	0.19265	0.184129	0.0308679	0.463	0.6294	0.225515	0.885458	0.886791	0.019153	0.394	0.5475	0.322404	0.821508	0.821001	0.0131427	0.566
199510	0.4238	0.70432	0.181937	0.185331	0.029548	0.475	0.6231	0.215482	0.888119	0.885789	0.0198662	0.395	0.5519	0.344523	0.82235	0.820555	0.0133752	0.568
199511	0.4258	0.696	0.181333	0.186528	0.029371	0.467	0.6227	0.216962	0.887603	0.885691	0.0196191	0.404	0.5413	0.324824	0.825926	0.8206	0.0143891	0.585
199512	0.4366	0.711777	0.195497	0.188003	0.0289896	0.468	0.6114	0.220792	0.876174	0.885589	0.019914	0.425	0.5399	0.341709	0.819277	0.819488	0.0149642	0.6
199513	0.4209	0.690812	0.183459	0.187199	0.0282203	0.482	0.6099	0.230588	0.890261	0.884998	0.020767	0.428	0.5327	0.345833	0.813	0.817636	0.0146779	0.642
199514	0.4294	0.691701	0.185328	0.18435	0.0280378	0.488	0.6115	0.238084	0.890909	0.885682	0.0210687	0.446	0.5286	0.361682	0.827933	0.817183	0.0150478	0.663
199515	0.4362	0.686885	0.197266	0.186207	0.0282492	0.472	0.589	0.224215	0.882671	0.884383	0.0217188	0.448	0.5224	0.374661	0.813056	0.816138	0.0149777	0.666
199516	0.4222	0.686864	0.185606	0.185459	0.0276943	0.435	0.6005	0.24933	0.885507	0.884505	0.0222795	0.451	0.5299	0.387087	0.814671	0.817567	0.0152115	0.683
199517	0.422	0.712874	0.198053	0.185278	0.0290367	0.435	0.5985	0.241907	0.891439	0.883941	0.0227442	0.486	0.5165	0.376135	0.818927	0.818739	0.0145327	0.714
199518	0.4117	0.703448	0.18708	0.185544	0.0287035	0.451	0.5761	0.253086	0.881518	0.883193	0.0225925	0.484	0.5122	0.390896	0.815035	0.819137	0.015152	0.708
199519	0.4167	0.707982	0.177413	0.186354	0.0276696	0.469	0.5826	0.267355	0.878295	0.882678	0.0229902	0.487	0.5172	0.392655	0.819178	0.819419	0.0138838	0.699
199520	0.4234	0.696588	0.182109	0.187587	0.027921	0.446	0.5874	0.273101	0.88577	0.882394	0.0201969	0.474	0.5152	0.389557	0.806977	0.819339	0.0139692	0.722
199521	0.4163	0.705605	0.183394	0.189464	0.0264774	0.437	0.5855	0.253797	0.884411	0.882127	0.0201692	0.463	0.5072	0.391967	0.806475	0.819839	0.013812	0.719
199522	0.412	0.705492	0.184192	0.190388	0.0260577	0.456	0.5926	0.259179	0.880074	0.882024	0.021022	0.471	0.5214	0.405981	0.816726	0.820231	0.0135837	0.738
199523	0.4271	0.701535	0.197059	0.189049	0.0268412	0.453	0.5849	0.255626	0.878072	0.883178	0.0212387	0.46	0.5094	0.400542	0.816031	0.821163	0.0131986	0.735
199524	0.4254	0.70596	0.193053	0.189088	0.0259563	0.434	0.5904	0.262174	0.87	0.884303	0.0212631	0.483	0.518	0.408571	0.821509	0.822228	0.0131291	0.715
199525	0.4132	0.701613	0.192049	0.189214	0.0251439	0.419	0.584	0.262526	0.884333	0.883908	0.0213758	0.499	0.5168	0.395385	0.821404	0.823687	0.0124635	0.735
199526	0.4063	0.708115	0.18864	0.189822	0.0248702	0.402	0.5791	0.267936	0.889022	0.884242	0.0222714	0.49	0.5179	0.405442	0.829811	0.821961	0.0132884	0.742
199527	0.4017	0.723881	0.185117	0.189751	0.0252181	0.381	0.5799	0.264082	0.883333	0.885541	0.0218627	0.47	0.5121	0.40593	0.817442	0.822958	0.0137213	0.742
199528	0.3887	0.725722	0.18126	0.188959	0.0248583	0.368	0.5947	0.26383	0.888113	0.884444	0.0214901	0.453	0.5065	0.397035	0.821318	0.82215	0.0140555	0.742
199529	0.3845	0.726359	0.185443	0.189039	0.0249424	0.37	0.6039	0.259382	0.889214	0.882573	0.0229267	0.444	0.5186	0.415768	0.814341	0.822614	0.017557	0.757
199530	0.3893	0.739189	0.18381	0.190677	0.0244039	0.397	0.5986	0.241667	0.883633	0.883119	0.0238694	0.445	0.5174	0.409775	0.852675	0.823956	0.0194791	0.744
199531	0.4078	0.738539	0.19005	0.18888	0.0247938	0.389	0.5967	0.240225	0.882523	0.880683	0.0241386	0.482	0.5058	0.399194	0.815625	0.823813	0.0181804	0.744
199532	0.3941	0.722622	0.184943	0.188717	0.0254329	0.375	0.5824	0.262033	0.880502	0.880626	0.0247636	0.517	0.5136	0.409677	0.815625	0.823548	0.0159151	0.746
199533	0.3918	0.734933	0.18592	0.189321	0.02535	0.39	0.5664	0.275435	0.877847	0.880439	0.0261386	0.484	0.5198	0.412466	0.835039	0.823818	0.0177078	0.757
199534	0.4014	0.732564	0.189672	0.19008	0.0249991	0.397	0.587	0.276446	0.878295	0.880195	0.0256681	0.496	0.5038	0.403038	0.817695	0.821804	0.0154559	0.747
199535	0.4072	0.731234	0.193864	0.191108	0.0250567	0.426	0.5839	0.278226	0.884722	0.882569	0.0250793	0.478	0.5149	0.409371	0.826482	0.82226	0.0159633	0.741
199536	0.4204	0.73662	0.185714	0.189052	0.0252204	0.44	0.5814	0.254393	0.880843	0.882087	0.0258535	0.498	0.513	0.405128	0.821622	0.822821	0.0159552	0.721
199537	0.4188	0.710227	0.189821	0.191427	0.0242093	0.461	0.5802	0.26988	0.888048	0.883268	0.025039	0.483	0.523	0.403467	0.8319	0.822946	0.0163113	0.708
199538	0.4274	0.710412	0.185343	0.19449	0.0235581	0.483	0.5836	0.257143	0.888588	0.882539	0.0262244	0.468	0.5164	0.385593	0.833562	0.823998	0.0162954	0.692
199539	0.436	0.706418	0.183366	0.194235	0.0238845	0.494	0.5872	0.253632	0.880639	0.883902	0.0277805	0.481	0.5214	0.393208	0.809416	0.824427	0.0161642	0.691
199540	0.441	0.691498	0.196443	0.195424	0.0231412	0.494	0.5878	0.261746	0.889981	0.883446	0.0272481	0.508	0.5262	0.388857	0.833333	0.823847	0.015119	0.704
199541	0.4345	0.669838	0.204743	0.195374	0.0229508	0.496	0.5681	0.262205	0.883943	0.884129	0.0260394	0.515	0.5095	0.37571	0.827703	0.822346	0.0127151	0.705
199542	0.4409	0.690726	0.19504	0.194139	0.0227894	0.489	0.569	0.273204	0.883093	0.881921	0.025772	0.539	0.5258	0.394043	0.840678	0.821486	0.011891	0.697
199543	0.4372	0.684049	0.200978	0.193793	0.0228948	0.499	0.5637	0.284601	0.890022	0.879877	0.0261985	0.546	0.5206	0.391822	0.816832	0.822195	0.0126054	0.692
199544	0.4356	0.683968	0.188224	0.19331	0.0219775	0.485	0.5594	0.29652	0.875551	0.882047	0.0259371	0.563	0.5223	0.385983	0.828571	0.821763	0.0128219	0.695
199545	0.4409	0.700206	0.196699	0.193875	0.0221012	0.463	0.5575	0.302842	0.885584	0.883987	0.0253978	0.58	0.5218	0.391367	0.819016	0.820792	0.0127974	0.683
199546	0.4183	0.688121	0.185661	0.193002	0.0229295	0.499	0.5432	0.294655	0.886429	0.884537	0.0241278	0.595	0.5259	0.383748	0.832177	0.821098	0.0131124	0.683
199547	0.4498	0.70481	0.195808	0.190883	0.0231877	0.486	0.5503	0.318487	0.890864	0.885738	0.0237251	0.606	0.5211	0.378038	0.829338	0.821021	0.0125958	0.663
199548	0.435	0.686214	0.197471	0.192833	0.0237891	0.508	0.5387	0.310396	0.889848	0.885329	0.0226948	0.592	0.5254	0.373152	0.824926	0.821717	0.0125331	0.655
199549	0.4387	0.677953	0.191667	0.190128	0.0232737	0.514	0.5546	0.325676	0.886765	0.884992	0.0228858	0.588	0.5256	0.373282	0.814783	0.821105	0.0117691	0.646
199550	0.4439	0.681518	0.192593	0.190459	0.0234325	0.506	0.5478	0.309184	0.88835	0.885516	0.0226848	0.595	0.5317	0.373839	0.819774	0.821182	0.0121705	0.625
199551	0.4384	0.685375	0.185425	0.189876	0.0242483	0.465	0.5502	0.322857	0.884198	0.884869	0.0229166	0.55	0.5355	0.35936	0.829067	0.821204	0.011763	0.627
199552	0.4226	0.696559	0.184486	0.189577	0.0237922	0.454	0.5635	0.296545	0.889778	0.886172	0.0222117	0.576	0.5335	0.363636	0.819035	0.821222	0.0122888	0.609
199553	0.4286	0.71696	0.188828	0.18986	0.0240244	0.475	0.5483	0.299306	0.886557	0.88591	0.0216841	0.59	0.5356	0.354187	0.818159	0.820527	0.0128464	0.614
199554	0.4369	0.701263	0.197714	0.188223	0.0254704	0.483	0.5487	0.314576	0.88561	0.886177	0.0210121	0.591	0.5335	0.357166	0.81399	0.819534	0.0134697	0.609
199555	0.4254	0.683437	0.184333	0.188498	0.0260938	0.469	0.5466	0.308629	0.890465	0.886401	0.0218414	0.607	0.5299	0.345484	0.817136	0.819533	0.0129395	0.619
199556	0.4245	0.697015	0.183804	0.188039	0.0275892	0.475	0.5486	0.329325	0.887277	0.887347	0.020917	0.606	0.5394	0.362843	0.826247	0.819653	0.0131829	0.602
199557	0.4352	0.706737	0.189524	0.187787	0.0269609	0.463	0.5365	0.309406	0.885787	0.888727	0.0204248	0.627	0.5335	0.336711	0.831156	0.818518	0.0131573	0.583
199558	0.4248	0.693521	0.19311	0.186854	0.0272905	0.474	0.5383	0.332536	0.884182	0.887193	0.0197342	0.623	0.5421	0.347684	0.813909	0.819127	0.012791	0.587
199559	0.4295	0.70211	0.18384	0.186746	0.0273561	0.472	0.541	0.331621	0.887003	0.887491	0.0192478	0.619	0.5465	0.352129	0.82276	0.819668	0.0117813	0.576
199560	0.4165	0.679237	0.181629	0.187088	0.0265487	0.475	0.5356	0.319063	0.887402	0.88553	0.0192722	0.619	0.5412	0.340451	0.813915	0.81968	0.0120052	0.569
199561	0.4292	0.706316	0.178476	0.187407	0.0285387	0.476	0.5333	0.317447	0.88399	0.886361	0.0196784	0.646	0.5422	0.334798	0.816009	0.819126	0.0121834	0.591
199562	0.4261	0.692017	0.184542	0.187217	0.029245	0.473	0.5359	0.342105	0.889548	0.886523	0.0198179	0.628	0.5331	0.330626	0.825672	0.819748	0.0119409	0.62
199563	0.4338	0.702537	0.1926	0.187196	0.0291713	0.492	0.5381	0.330414	0.88871	0.887172	0.0204878	0.616	0.5339	0.35129	0.831842	0.819205	0.0124084	0.656
199564	0.4356	0.692886	0.186417	0.187207	0.0277135	0.512	0.5382	0.321266	0.886198	0.888785	0.020851	0.628	0.525	0.36936	0.821802	0.819229	0.0129654	0.66
199565	0.443	0.687109	0.186885	0.188505	0.0277589	0.506	0.5377	0.334236	0.881183	0.888634	0.0208836	0.653	0.5287	0.378182	0.820882	0.818931	0.0124302	0.664
199566	0.4383	0.683597	0.187045	0.187979	0.0291823	0.498	0.535	0.346248	0.890202	0.88832	0.0217002	0.678	0.5269	0.369729	0.8375	0.81829	0.0124138	0.635
199567	0.4378	0.692972	0.184661	0.188158	0.0280181	0.519	0.5293	0.35767	0.890683	0.885095	0.0226795	0.693	0.5329	0.362205	0.829863	0.81833	0.0128617	0.646
199568	0.4538	0.695376	0.193139	0.187373	0.0281507	0.54	0.5214	0.363492	0.87785	0.885507	0.021931	0.685	0.5319	0.367802	0.831356	0.818862	0.0126525	0.641
199569	0.4447	0.668148	0.182391	0.188404	0.0274641	0.543	0.5236	0.357956	0.88381	0.887095	0.0209407	0.664	0.5297	0.369111	0.816435	0.819445	0.0116474	0.646
199570	0.4464	0.664457	0.187309	0.188135	0.0268846	0.566	0.5351	0.35497	0.891071	0.886912	0.0215505	0.683	0.5307	0.370588	0.822881	0.818492	0.01163	0.663
199571	0.457	0.661484	0.190323	0.187853	0.0274021	0.562	0.5172	0.348023	0.881703	0.888343	0.0218243	0.672	0.5148	0.368175	0.803264	0.818717	0.0111937	0.654
199572	0.4602	0.664769	0.197717	0.187571	0.0283873	0.55	0.5392	0.370238	0.885366	0.889848	0.0203638	0.641	0.5289	0.378135	0.813873	0.818903	0.0109268	0.637
199573	0.4424	0.655091	0.182444	0.189403	0.0288376	0.522	0.5313	0.333697	0.884123	0.889162	0.0201315	0.655	0.517	0.343956	0.820661	0.819206	0.0111923	0.634
199574	0.4418	0.677011	0.184937	0.189886	0.0300116	0.519	0.5354	0.351603	0.884348	0.888025	0.0213788	0.639	0.5261	0.359464	0.814754	0.818426	0.011323	0.625
199575	0.4463	0.679191	0.19501	0.187564	0.029769	0.537	0.5339	0.334272	0.887258	0.888282	0.0202927	0.624	0.5394	0.37664	0.810667	0.8187	0.0108866	0.632
199576	0.4441	0.663873	0.189201	0.187778	0.0309263	0.521	0.5419	0.328686	0.895745	0.888158	0.0195354	0.634	0.519	0.348734	0.811413	0.817723	0.0110715	0.633
199577	0.4444	0.679655	0.188518	0.186908	0.0315069	0.518	0.5411	0.333754	0.900273	0.887781	0.0201978	0.643	0.5396	0.377567	0.819074	0.818488	0.010871	0.623
199578	0.4427	0.679344	0.188382	0.186275	0.0311899	0.513	0.5277	0.333281	0.877871	0.888226	0.0205055	0.644	0.5286	0.34382	0.833952	0.818935	0.0108052	0.611
199579	0.4444	0.687329	0.188501	0.188504	0.0289847	0.518	0.5332	0.334783	0.892135	0.887188	0.0205603	0.647	0.5397	0.359247	0.823136	0.819368	0.0105239	0.604
199580	0.437	0.677413	0.178631	0.187159	0.0288542	0.512	0.5294	0.330912	0.893201	0.886998	0.0206801	0.636	0.5327	0.342053	0.823485	0.819281	0.0105626	0.603
199581	0.446	0.691406	0.188525	0.190052	0.028026	0.522	0.5372	0.328774	0.901374	0.886199	0.0215442	0.664	0.5378	0.362023	0.804786	0.819457	0.0104618	0.61
199582	0.4398	0.671648	0.186611	0.190336	0.0282074	0.544	0.5283	0.348946	0.882738	0.885276	0.021401	0.614	0.5353	0.352787	0.820769	0.819205	0.0109508	0.59
199583	0.4464	0.662316	0.188816	0.190137	0.0289606	0.543	0.549	0.337134	0.88601	0.885658	0.0227225	0.602	0.5401	0.344068	0.822195	0.818587	0.0110847	0.589
199584	0.4625	0.681952	0.201751	0.191421	0.0295673	0.534	0.5437	0.316279	0.887688	0.888362	0.0215147	0.612	0.539	0.34618	0.815328	0.817984	0.0107087	0.589
199585	0.4481	0.669476	0.194421	0.193245	0.0295916	0.519	0.5372	0.313562	0.889948	0.888852	0.0213097	0.585	0.5351	0.34601	0.806083	0.817631	0.0118848	0.571
199586	0.4439	0.684586	0.1842	0.194192	0.0283063	0.488	0.5569	0.322906	0.886747	0.891195	0.0215523	0.549	0.5506	0.347986	0.82028	0.817009	0.0118114	0.578
199587	0.4402	0.697541	0.194922	0.197156	0.0274373	0.488	0.5633	0.300364	0.88337	0.890506	0.0211002	0.56	0.5305	0.330969	0.803791	0.816151	0.0119059	0.57
199588	0.4355	0.68709	0.195703	0.198128	0.0269122	0.485	0.553	0.284643	0.894545	0.890528	0.0213574	0.557	0.5533	0.357018	0.813488	0.816966	0.0115334	0.555
199589	0.4344	0.689278	0.194369	0.198235	0.0270562	0.461	0.5621	0.305566	0.88465	0.889873	0.0218622	0.546	0.5421	0.325045	0.812809	0.817403	0.0112954	0.56
199590	0.4295	0.700651	0.197588	0.197216	0.0271629	0.471	0.5648	0.295421	0.888767	0.891151	0.0219947	0.551	0.5417	0.33125	0.809545	0.818326	0.0108351	0.568
199591	0.4289	0.701911	0.185822	0.197443	0.0269739	0.479	0.5554	0.289111	0.882183	0.890918	0.0233479	0.554	0.551	0.343134	0.824306	0.818938	0.0106334	0.536
199592	0.4402	0.706889	0.19501	0.19687	0.0268254	0.507	0.5574	0.291336	0.887892	0.890496	0.0222366	0.566	0.5587	0.332836	0.819612	0.819002	0.0100762	0.535
199593	0.4408	0.685602	0.189047	0.197092	0.0263425	0.512	0.5573	0.300707	0.891935	0.890091	0.0212058	0.531	0.5531	0.317383	0.824301	0.81913	0.00993161	0.553
199594	0.4414	0.681055	0.189959	0.198242	0.0250338	0.502	0.5696	0.281356	0.895949	0.89079	0.0204874	0.519	0.5442	0.326582	0.813423	0.818759	0.0107787	0.557
199595	0.4344	0.676295	0.190562	0.199585	0.0245383	0.501	0.5742	0.278998	0.892723	0.888695	0.0204236	0.521	0.5476	0.33088	0.82009	0.818941	0.0103343	0.561
199596	0.4515	0.691417	0.210621	0.200014	0.0222377	0.545	0.5677	0.268714	0.892902	0.889849	0.0203925	0.556	0.5402	0.328164	0.811162	0.819077	0.0105386	0.561
199597	0.4554	0.667706	0.201099	0.200617	0.0213781	0.532	0.558	0.294604	0.887838	0.889475	0.0204659	0.552	0.5457	0.340998	0.807289	0.819083	0.010848	0.581
199598	0.4383	0.649248	0.198504	0.199734	0.0221121	0.539	0.5615	0.292754	0.892634	0.889427	0.0207573	0.566	0.5428	0.344578	0.817661	0.818945	0.0113226	0.572
199599	0.4489	0.67384	0.1859	0.197278	0.022432	0.558	0.5511	0.296466	0.88318	0.889467	0.0217673	0.593	0.5409	0.335839	0.814953	0.818658	0.0117088	0.552
199600	0.46	0.667742	0.197738	0.196194	0.0256214	0.537	0.5411	0.303541	0.887224	0.889936	0.0220703	0.613	0.5423	0.325906	0.808929	0.818296	0.0110429	0.592
199601	0.4555	0.672998	0.20324	0.19684	0.0259406	0.532	0.5483	0.329364	0.89509	0.889001	0.0202655	0.604	0.5368	0.346791	0.8125	0.818614	0.0106087	0.573
199602	0.4402	0.659586	0.190812	0.195555	0.027164	0.547	0.5351	0.309603	0.87904	0.890669	0.0196925	0.605	0.5422	0.3363	0.818501	0.817581	0.0112842	0.573
199603	0.4558	0.668556	0.198896	0.195747	0.0260959	0.555	0.5481	0.324463	0.890633	0.890007	0.0202842	0.576	0.5372	0.334031	0.809836	0.817619	0.0114926	0.547
199604	0.4508	0.658559	0.191685	0.197386	0.0243967	0.553	0.548	0.300521	0.884198	0.891174	0.0199727	0.59	0.5501	0.325594	0.821192	0.817763	0.011082	0.525
199605	0.4472	0.65443	0.190828	0.19686	0.0238412	0.56	0.5477	0.312712	0.885854	0.888268	0.0200199	0.61	0.566	0.332762	0.823789	0.81697	0.0113922	0.535
199606	0.4587	0.66125	0.200909	0.195476	0.0257881	0.555	0.5367	0.310164	0.891026	0.888555	0.0197712	0.604	0.544	0.308598	0.814839	0.815927	0.0115042	0.535
199607	0.4527	0.655135	0.200225	0.193537	0.026444	0.578	0.5499	0.321689	0.89798	0.888777	0.019075	0.595	0.5498	0.325607	0.807742	0.816681	0.0116532	0.522
199608	0.4577	0.654152	0.188626	0.192012	0.0272222	0.57	0.5395	0.303361	0.88642	0.888708	0.0192597	0.593	0.5526	0.316284	0.810669	0.816232	0.0119482	0.529
199609	0.4608	0.658246	0.19907	0.192695	0.0276707	0.566	0.5488	0.313828	0.891155	0.888232	0.0189516	0.56	0.5564	0.324008	0.81741	0.816537	0.011891	0.519
199610	0.4618	0.664841	0.197005	0.192974	0.0258418	0.547	0.5606	0.301786	0.89	0.8903	0.0185042	0.584	0.5597	0.320809	0.817464	0.816464	0.0118791	0.529
199611	0.449	0.65521	0.2	0.192362	0.0262469	0.535	0.5422	0.296747	0.886779	0.889088	0.0191554	0.603	0.5591	0.326843	0.819958	0.816934	0.0112272	0.512
199612	0.4494	0.669907	0.195699	0.191528	0.0249587	0.535	0.5446	0.318242	0.888413	0.889257	0.0201272	0.587	0.5566	0.314258	0.810861	0.816817	0.0112238	0.499
199613	0.4456	0.674206	0.182581	0.188921	0.0255737	0.54	0.5484	0.309881	0.887409	0.88963	0.0198909	0.596	0.5663	0.311222	0.820359	0.816756	0.0117523	0.525
199614	0.4458	0.667407	0.185652	0.189703	0.0249593	0.533	0.547	0.315436	0.888614	0.889641	0.0204707	0.581	0.5567	0.323048	0.814947	0.816316	0.0114058	0.503
199615	0.4431	0.663039	0.192077	0.189954	0.0241713	0.506	0.5508	0.298623	0.900477	0.889853	0.0203708	0.595	0.5652	0.321471	0.811871	0.816027	0.0116647	0.493
199616	0.4352	0.678854	0.185628	0.190519	0.0249643	0.507	0.5406	0.301176	0.892346	0.889476	0.0217073	0.592	0.5681	0.31501	0.814201	0.815906	0.0117042	0.518
199617	0.4428	0.681065	0.197769	0.191289	0.0258244	0.526	0.553	0.318074	0.893873	0.888281	0.0222127	0.562	0.5522	0.307915	0.81473	0.816373	0.0120403	0.51
199618	0.4452	0.672814	0.192616	0.189652	0.0277723	0.499	0.555	0.296085	0.887215	0.886323	0.0232292	0.559	0.5533	0.303529	0.813265	0.816615	0.0124003	0.516
199619	0.4352	0.68497	0.186427	0.189172	0.0273617	0.5	0.56	0.297853	0.89229	0.884978	0.0238943	0.541	0.5611	0.313372	0.825207	0.818191	0.0121712	0.499
199620	0.4351	0.6838	0.1864	0.189047	0.0275944	0.468	0.5641	0.291497	0.885403	0.885763	0.0236834	0.55	0.571	0.31483	0.826148	0.818104	0.0120648	0.491
199621	0.4256	0.690598	0.192481	0.188622	0.0280704	0.463	0.5632	0.293455	0.892889	0.885035	0.0242752	0.573	0.5657	0.310591	0.811788	0.817756	0.0122304	0.489
199622	0.4275	0.711447	0.182682	0.187951	0.0274644	0.475	0.5534	0.302269	0.890398	0.886481	0.025643	0.573	0.5696	0.313906	0.814286	0.817918	0.0124601	0.483
199623	0.4324	0.7	0.190286	0.187459	0.0275642	0.493	0.5519	0.302792	0.886183	0.884795	0.0266781	0.57	0.5667	0.299379	0.816441	0.818717	0.0121678	0.512
